find_number,material_category,material,start_date,end_date,level_1_of_the_functional_classification,level_2_of_the_functional_classification,ceramics_rim_eve_estimated_vessel_equivalent,ceramics_base_eve_estimated_vessel_equivalent,ceramics_reconstructed_object_diameter_in_mm,ceramics_reconstructed_object_height_in_mm,ceramics_surface_treatment,ceramics_decoration_technique,ceramics_image_type,ceramics_mark
NZR2.00813CER029,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,20,340,37,lead-glaze,overall white,NULL,NULL
NZR2.00813CER030,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",45,15,240,23,lead-glaze,overall white,NULL,NULL
NZR2.00813CER039,CER,maiolica,1625,1650,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,55,200,55,tin-glaze inside and lead-glaze outside,blue-white,mixture,NULL
NZR2.00813CER053,CER,"redware, slip: Lower Rhine region",1675,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,15,350,40,inside lead-glaze,slipware,NULL,NULL
NZR2.00813CER056,CER,redware,1700,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,40,180,33,lead-glaze,NULL,NULL,NULL
NZR2.00814CER016,CER,redware,1500,1550,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,15,170,45,inside lead-glaze,NULL,NULL,NULL
NZR2.00817CER008,CER,industrial ware: black,1760,1780,Food Processing & Consumption,Consumption: drinking,95,0,65,35,lead-glaze with manganese oxide,overall black,NULL,NULL
NZR2.00817CER012,CER,porcelain: China,1700,1775,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,40,240,25,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZR2.00817CER015,CER,porcelain: Europe,1875,1936,Food Processing & Consumption,"Food consumption: plate, dish, bowl",40,40,240,35,feldspar glaze,overall white,NULL,NULL
NZR2.00817CER022,CER,industrial ware: white,1775,1825,Food Processing & Consumption,Consumption: drinking,15,15,130,32,lead-glaze,overall white,NULL,NULL
NZR2.00817CER039,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,5,240,25,lead-glaze,overall white,NULL,NULL
NZR2.00817CER043,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,20,260,30,lead-glaze,overall white,NULL,NULL
NZR2.00817CER046,CER,industrial ware: white,1825,1875,Food Processing & Consumption,Consumption: drinking,20,50,115,30,lead-glaze with blue underglaze,blue-white,floral motif,unknown
NZR2.00818CER031,CER,faience: Holland,1650,1700,Food Processing & Consumption,"Food consumption: plate, dish, bowl",45,55,230,30,tin-glaze,blue-white sponged ware,religious/biblical images,NULL
NZR2.00818CER100,CER,industrial ware: white,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,30,180,17,lead-glaze with blue underglaze,blue-white,NULL,NULL
NZR2.00818CER106,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,0,260,25,lead-glaze,overall white,NULL,NULL
NZR2.00818CER112,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",40,25,210,20,lead-glaze,overall white,NULL,NULL
NZR2.00818CER113,CER,industrial ware: white,1800,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",50,45,260,25,lead-glaze,overall white,NULL,NULL
NZR2.00818CER116,CER,industrial ware: white,1803,1874,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,20,210,20,lead-glaze,overall white,NULL,Moore & Co
NZR2.00818CER225,CER,redware,1700,1800,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,15,65,140,117,lead-glaze with slip inside,NULL,NULL,NULL
NZR2.00818CER233,CER,redware,1814,1880,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,40,420,85,inside lead-glaze,NULL,NULL,BOZ
NZR2.00832CER005,CER,industrial ware: stoneware,1750,1850,Food Processing & Consumption,Consumption: drinking,85,NULL,90,35,iron oxide slip and salt-glaze,NULL,NULL,NULL
NZR2.00832CER011,CER,industrial ware: white,1775,1825,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,5,260,65,lead-glaze,overall white,NULL,NULL
NZR2.00833CER023,CER,porcelain: China,1725,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",30,75,110,55,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZR2.00833CER025,CER,porcelain: China,1700,1775,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,10,150,70,"feldspar glaze, painted, blue underglaze, enamel overglaze",imari,floral motif,NULL
NZR2.00833CER031,CER,porcelain: China,1725,1775,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,25,170,40,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZR2.00833CER035,CER,porcelain: Europe,1800,1850,Food Processing & Consumption,Consumption: drinking,40,50,135,30,"feldspar, painted with blue underglaze",blue-white,NULL,NULL
NZR2.00833CER037,CER,porcelain: Europe,1800,1850,Food Processing & Consumption,Consumption: drinking,15,25,130,30,"feldspar glaze, painted with enamel overglaze",gilded,NULL,NULL
NZR2.00833CER060,CER,industrial ware: white,1825,1850,Food Processing & Consumption,Consumption: drinking,20,55,90,60,lead-glaze,"transfer printing, blue",landscape,NULL
NZR2.00835CER008,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,10,260,30,lead-glaze,"transfer printing, blue",landscape,NULL
NZR2.00835CER018,CER,redware,1750,1850,Food Processing & Consumption,Consumption: drinking,100,100,140,110,lead-glaze with slip inside,slipware,NULL,NULL
NZR2.00838CER011,CER,porcelain: China,1725,1775,Food Processing & Consumption,"Food consumption: plate, dish, bowl",5,15,220,45,"feldspar, painted with blue underglaze",blue-white,landscape,NULL
NZR2.00839CER052,CER,porcelain: Europe,1825,1900,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,15,140,20,feldspar glaze,overall white,NULL,NULL
NZR2.00839CER053,CER,porcelain: Europe,1775,1850,Food Processing & Consumption,Consumption: drinking,15,55,80,50,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZR2.00770CER011,CER,maiolica,1650,1700,Food Processing & Consumption,"Food consumption: plate, dish, bowl",70,100,190,30,tin-glaze inside and lead-glaze outside,"polychrome blue-white, yellow details",floral motif,NULL
NZR2.00771CER019,CER,redware,1625,1700,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,20,10,170,70,lead-glaze,NULL,NULL,NULL
NZR2.00772CER021,CER,"redware, slip: Lower Rhine region",1675,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,15,230,30,inside lead-glaze,slipware,NULL,NULL
NZR2.00776CER024,CER,porcelain: China,1725,1800,Food Processing & Consumption,Consumption: drinking,20,25,120,30,"feldspar glaze, painted, blue underglaze, enamel overglaze",blue-white,floral motif,NULL
NZR2.00781CER011,CER,porcelain: China,1725,1775,Food Processing & Consumption,Consumption: drinking,35,45,60,60,"feldspar glaze, painted with enamel overglaze","enamelled, India ink",human figure,NULL
NZR2.00781CER017,CER,"redware, slip: Lower Rhine region",1675,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,15,400,43,inside lead-glaze,slipware,NULL,NULL
NZR2.00783CER008,CER,industrial ware: white,1850,1900,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,5,260,30,lead-glaze,"transfer printing, blue",chinese decor,NULL
NZR2.00783CER010,CER,industrial ware: white,1825,1875,Food Processing & Consumption,Consumption: drinking,40,100,105,55,lead-glaze,enamelled,floral motif,NULL
NZR2.00783CER011,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,10,150,35,lead-glaze,overall white,NULL,NULL
NZR2.00783CER012,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,25,180,20,lead-glaze,"transfer printing, black",text/inscriptions,NULL
NZR2.00784CER008,CER,industrial ware: white,1775,1825,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,25,220,20,lead-glaze,overall white,NULL,NULL
NZR2.00787CER021,CER,industrial ware: white,1800,1830,Food Processing & Consumption,Consumption: drinking,15,25,100,55,lead-glaze,"enamelled, polychrome",floral motif,NULL
NZR2.00787CER024,CER,industrial ware: white,1825,1875,Food Processing & Consumption,Consumption: drinking,25,25,100,55,lead-glaze,"transfer printing, blue",floral motif,NULL
NZR2.00787CER025,CER,industrial ware: white,1800,1850,Food Processing & Consumption,Consumption of food and drinks: table accessories,20,100,80,50,lead-glaze,overall white,NULL,NULL
NZR2.00787CER027,CER,industrial ware: white,1825,1875,Food Processing & Consumption,Consumption: drinking,25,40,80,65,lead-glaze,"transfer printing, blue",floral motif,NULL
NZR2.00787CER030,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",25,20,220,52,lead-glaze,overall white,NULL,NULL
NZR2.00787CER055,CER,"redware, slip: Lower Rhine region",1675,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",35,25,210,25,inside lead-glaze,NULL,NULL,NULL
NZR2.00787CER062,CER,redware,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,5,160,45,lead-glaze with manganese oxide outside,NULL,NULL,NULL
NZR2.00799CER005,CER,porcelain: China,1725,1800,Food Processing & Consumption,Consumption: drinking,100,0,50,35,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZR2.00799CER007,CER,porcelain: China,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",25,45,160,65,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
NZR2.00799CER012,CER,industrial ware: white,1825,1875,Food Processing & Consumption,Consumption: drinking,40,40,125,27,lead-glaze,"transfer printing, black",landscape,NULL
NZR2.00799CER024,CER,industrial ware: white,1775,1825,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,10,0,330,20,lead-glaze,overall white,NULL,NULL
NZR2.00799CER044,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",5,5,250,25,lead-glaze,overall white,NULL,NULL
NZR2.00799CER045,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,15,240,25,lead-glaze,overall white,NULL,NULL
NZR2.00799CER049,CER,industrial ware: white,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",50,40,260,25,lead-glaze,overall white,NULL,NULL
NZR2.00799CER050,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,15,260,20,lead-glaze,overall white,NULL,NULL
NZR2.00806CER007,CER,industrial ware: white,1825,1875,Food Processing & Consumption,Consumption: drinking,10,10,130,30,lead-glaze,"transfer printing, blue",genre scene,NULL
NZR2.00807CER016,CER,redware,1550,1650,Food Processing & Consumption,"Food consumption: plate, dish, bowl",35,20,375,60,lead-glaze and inside slip,NULL,NULL,NULL
NZR2.00808CER046,CER,industrial ware: white,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,25,210,20,lead-glaze,overall white,NULL,NULL
NZR2.00808CER049,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,20,210,17,lead-glaze,overall white,NULL,NULL
NZR2.00808CER051,CER,industrial ware: white,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,15,260,25,lead-glaze,overall white,NULL,NULL
NZR2.00808CER052,CER,industrial ware: white,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,5,190,15,lead-glaze,overall white,NULL,NULL
NZR2.00808CER055,CER,industrial ware: white,1775,1825,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,25,260,35,lead-glaze,overall white,NULL,NULL
NZR2.00808CER076,CER,redware,1750,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,70,300,77,lead-glaze,NULL,NULL,NULL
NZR2.00808CER080,CER,"redware, slip: Lower Rhine region",1700,1775,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,40,190,35,lead-glaze and inside slip,slipware,NULL,NULL
NZR2.00812CER009,CER,porcelain: Japan,1700,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,10,250,35,"feldspar, painted with blue underglaze",blue-white,NULL,NULL
NZR2.00812CER019,CER,redware,1800,1900,Food Processing & Consumption,"Food consumption: plate, dish, bowl",25,25,320,70,lead-glaze,NULL,NULL,NULL
NZR2.00812CER021,CER,"redware, slip: Lower Rhine region",1700,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,25,210,35,inside lead-glaze,slipware,NULL,NULL
NZR2.00818CER050,CER,porcelain: Europe,1775,1825,Food Processing & Consumption,Consumption: drinking,10,25,60,60,"feldspar glaze, painted with enamel overglaze",gilded,floral motif,NULL
NZR2.00818CER052,CER,porcelain: Europe,1825,1900,Food Processing & Consumption,"Food consumption: plate, dish, bowl",25,25,160,35,feldspar glaze,overall white,NULL,NULL
NZR2.00818CER064,CER,industrial ware: white,1850,1900,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,10,140,25,lead-glaze,"transfer printing, blue",NULL,NULL
NZR2.00818CER070,CER,industrial ware: white,1900,1936,Food Processing & Consumption,"Food consumption: plate, dish, bowl",25,30,160,30,lead-glaze,overall white,NULL,NULL
NZR2.00818CER071,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",5,25,140,30,lead-glaze,overall white,NULL,NULL
NZR2.00818CER072,CER,industrial ware: white,1800,1850,Food Processing & Consumption,Consumption: drinking,20,40,130,30,lead-glaze,overall white,NULL,NULL
NZR2.00818CER076,CER,industrial ware: white,1775,1825,Food Processing & Consumption,Consumption: drinking,40,100,90,60,lead-glaze,"transfer printing, blue",geometric patterns,NULL
NZR2.00818CER080,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,15,170,40,lead-glaze,overall white,NULL,NULL
NZR2.00818CER165,CER,redware,1650,1725,Food Processing & Consumption,"Food consumption: plate, dish, bowl",60,50,200,30,lead-glaze and inside slip,NULL,NULL,NULL
NZR2.00826CER009,CER,industrial ware: white,1760,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,20,250,30,lead-glaze,overall white,NULL,NULL
NZR2.00826CER013,CER,"redware, slip: Lower Rhine region",1675,1750,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,15,460,65,inside lead-glaze,slipware,NULL,NULL
